Disease_1,Disease_2,is_a,Resemble,Source
DOID:780,DOID:345,1,0,DO
DOID:0050698,DOID:65,1,0,DO
DOID:0050699,DOID:447,1,0,DO
DOID:0050700,DOID:114,1,0,DO
DOID:114,DOID:1287,1,0,DO
DOID:0050701,DOID:1826,1,0,DO
DOID:1826,DOID:936,1,0,DO
DOID:0050702,DOID:0050701,1,0,DO
DOID:0070309,DOID:0050701,1,0,DO
DOID:0050705,DOID:0070309,1,0,DO
DOID:0050706,DOID:0050701,1,0,DO
DOID:0050708,DOID:0050704,1,0,DO
DOID:0050709,DOID:0050702,1,0,DO
DOID:0050710,DOID:9252,1,0,DO
DOID:0050711,DOID:2351,1,0,DO
DOID:2351,DOID:0050032,1,0,DO
DOID:0050712,DOID:0050798,1,0,DO
